AccountNumber;CardNo;TransactionNo;TransactionAmount
3995629888866130;363884590664541;100016117;$2,304.83 
7691084899900577;273577535575183;10004574;$1,543.21 
9062930474612002;798934812518744;100119475;$9,344.47 
6170844832863444;553531236575431;100181987;$5,527.10 
8154430346872307;700017036218974;100182226;$8,240.54 
1664149502099020;536900643283088;100274375;$3,820.61 
8609965816870175;549035733126436;100319982;$8,654.43 
9730927646561812;426338359730653;100326260;$4,299.74 
4859622894778061;367538583531647;100915362;$2,511.80 
6089049727020809;847466117309856;101068896;$3,180.91 
5470175668943169;289202860033743;101271157;$6,705.62 
8311799511420153;765029238207266;101398304;$6,872.82 
8308796911778219;814293727241420;101419775;$1,905.43 
9153072620985931;966225218563730;10143597;$7,399.12 
9332774328429427;133408186255947;10170324;$3,563.82 
9721235062491238;675559412414463;101919356;$3,165.05 
8010485387122172;134090131979496;102090581;$5,444.13 
2642231686843301;257906275827446;102129105;$7,579.17 
9387179877951769;965139202843958;102398152;$7,510.70 
3121116817098388;362007920881917;102484481;$6,566.97 
7489425180589437;166339176134873;102689739;$60.33 
3516336062122450;886789451228471;10292328;$8,151.64 
9157631351271161;692173117477613;103020348;$2,640.36 
6691281110919103;452346461712962;103095831;$6,423.58 
9483085331124211;500558672846142;103126579;$5,770.65 
9371868130111660;900681702933616;103168873;$7,344.12 
8906223953365173;894779492973867;103233519;$302.37 
1628990553557639;168724300761532;103258821;$6,249.76 
6822875312151258;414993534125442;103498905;$854.78 
3101146946971852;940774108232171;103597291;$5,243.47 
2970833625170241;779858543444426;103667572;$3,517.53 
7139161324388006;939143152616795;103817705;$5,618.19 
9308508435534137;789835553683464;103829236;$7,383.91 
1847248768624644;620942176521236;103960817;$3,749.35 
3561065074196731;795559558765806;104066677;$664.29 
6083910113984310;561717467831312;104114271;$1,810.79 
3135052312951405;153963433830855;104268682;$9,790.90 
3038283672486645;543516212286937;10435543;$8,477.99 
9039371390871184;282727091049512;10447374;$9,078.99 
4805037402525539;696494491952545;104506154;$9,338.13 
4584169200866802;865349534566837;104692330;$8,411.42 
5470175668943169;795846673550163;10469260;$3,934.58 
1003035500279518;164251985807087;10474132;$8,966.09 
5704371335097053;272244495395233;104954723;$4,822.59 
6300394454445362;674573732454784;105064632;$8,428.58 
8042874358672871;572153153174875;10509462;$4,106.48 
6927445511429907;341843764338538;105158331;$7,646.74 
3890673393288527;299082667703004;105212924;$9,757.36 
1836557347004968;609814592541370;10522637;$6,503.34 
6403313422819967;443651749261577;105240383;$2,445.15 
8533444828492981;638695025763740;105482983;$9,357.04 
1306594908382922;674030151619019;105558689;$7,028.10 
8680708877871183;649003610778267;105596098;$4,571.78 
6725569880126390;246509497202487;10576784;$2,520.57 
8460315837613642;729026412559306;105821260;$5,781.27 
8042874358672871;572153153174875;106058640;$4,532.42 
2150967205701900;388523253318981;106152596;$9,298.29 
5011766963806147;814602596013345;106480703;$2,322.44 
2617902740855249;243498831189362;106775206;$548.93 
7147493666335695;823526375746940;106830473;$7,914.93 
2825135038372886;670215713110662;106854383;$7,196.22 
4584169200866802;645250660482013;106919049;$919.05 
5656688373179941;813489865435923;106964740;$1,066.12 
5961978505421596;685724153846147;107324626;$4,379.66 
6300394454445362;674573732454784;108040525;$2,362.06 
1806846674405112;675325147759685;108360713;$8,421.38 
4545475167417416;761230722862973;108564454;$7,758.14 
8609965816870175;549035733126436;108882698;$956.50 
7406707940860129;456245896514537;109032390;$1,531.87 
4332314214213840;579038083119323;109039846;$9,369.35 
4250851422472427;727734299005574;109111216;$1,377.85 
6156242842839736;585879599545152;10911577;$3,832.74 
2913835030983688;527084926247069;10912361;$9,302.50 
9761135962998707;394639238420320;109169443;$7,900.59 
2684668570694556;837109970057357;109178160;$3,066.92 
8162686378717823;219457795218262;109318494;$974.30 
3411932992156083;889149015866049;109340700;$8,649.63 
7692601683671293;459462524682170;10934474;$6,847.87 
7862548300873642;242524482026981;10936487;$2,127.34 
7406707940860129;456245896514537;109602457;$9,427.09 
7987571357602805;630719430243425;109646916;$3,309.01 
9737833063262228;469813002200556;109727646;$5,591.10 
4805037402525539;696494491952545;10989528;$1,016.81 
1109630221825137;904796488324105;110099463;$2,657.68 
9622245278773899;358631020647839;110401477;$2,022.78 
2492711088310018;879984541317434;110487734;$726.86 
